test_tweet,actual_label,predicted_label
 thousands of us citizens in south dakota live with at least one family member who is undocumented5000 undocumented immigrants comprised 19 percent of the immigrant population and 1 percent of the total state population in 2016,2,1
democrats in the california senate said wednesday they want to spend the states projected multi-billion dollar budget surplus on things such as paying for the health care of some older low-income adults living in the country illegally ,2,1
gaslight gatekeep victim card im so oppressed because people dont like my views yeah bc youre transphobic,2,2
some of the icx releases coming soon dont miss the boat on the worlds soon-to-be largest #aggregatorchain#cryptocurrenices #cryptonews #cryptocurrencynews btc eth coin ltc ada link xrp luna xlm doge sxp mkr dot uni bch theta fil vet trx eos sol klay ,2,2
  is dutch going to be one of them it was an immigrant language,2,2
immigrant parents will make you feel bad for not being 25 married with kids having a stable 6 figure career and owning a house for you and one for them,2,2
  ive read chinese forums and its like an amazing alternate universe of japwestern textboards where nobody says nigger or posts porn,2,2
 stop playing the race card race card ,2,2
 how does an illegal immigrant become an american kristi i am sure they would love to hear the suggestions in which you are rooting your rhetoric,2,2
   you see islam falls in to minority group and sjws like to gather up minority groups and put them tougher to form some sort of coalition its called inter sectionalism,2,1
    i really enjoyed the doc hope it provokes some thoughtful discussions about community development ironic that the sioux falls segment highlights the positives of refugeeimmigrant community and then today  gives hateful comments towards those kids today,2,2
  she didnt care about her own constituents lives when she encouraged the super spreader event in her state last summer that kicked off the big midwest surge i doubt she gives much of af about the american immigrant story everyone better remember this when she runs for potus,2,1
here we go pulling the race card as a panacea youre giving ccp a platform thats whats wrong pag gipit sa patalim kumakapit ,2,2
 thats just racist you can be a legal immigrant and non-american,2,2
  considering shes made her self know through out the state of sc as she was our governor i feel as though i know this much about her legal immigration is very dear to her heart she has never been opposed this her family has faced the struggle of being a legal immigrant,2,1
 we are a country of immigrants not hate   and others must not quote hate groups to portray both sides disinformation group center for immigration studies cis spews false anti-immigrant hate stop elevating hate #correcttherecord #truthbrigade ,2,1
im a relatively new immigrant to oz but in 2008 when i arrived our first unit didnt have access to fox and streaming games wasnt a thing back then therefore sbs and the world game was my football lifeline at the time ,2,1
 how about 2 guys just fightingwhy do you have to inject the race card,2,2
  older white guy herei stepped out of a gaming group because it was a toxic b nazi role play was fine ill call out intolerance and wear the sjw insignia with pride,2,2
 that must be infuriating i loved my granny too but lost my shit at her one time when an aboriginal family moved into her street and you should have heard her mouth off she who came to australia as an immigrant in a boat head exploded,2,1
 the feminazis want us to just have a laugh and move on including laura jayes the dancing was amateurish and sexualising young women including the twerking who thought this display had a place in this setting,2,2
   there is no they its truly just the left conservative politicians dont play the race card game if you want it to stop you need to stop voting left the left wont be solving racism any time soon seeing that its so profitable for them to perpetuate it,2,2
2021-2022 north star ya award nominees 13felix ever after by kacen callenderwe are not free by traci cheethree things i know are true by betty culleycall me american the extraordinary true story of a young somali immigrant by abdi nor iftinrayb  ,2,1
what is the best opening track bracket 1 round of 16 6 gimme shelter - rolling stones vs 11 immigrant song - led zeppelin   ,2,1
tucker carlson explains that the agenda of the democrat party is to replace the american vote with the illegal immigrant vote ,2,1
   people who are non-leftist arent asking for employees to be fired have their lives ruined or be de-platformed on social media only the wokesjw left are were simply saying fine if you wanna be woke well go consume a product that isnt thats not cancel culture,2,2
           that used to be my drink of choice but as the son of german immigrant it is like mothers milk,2,2
we were proud to sponsor the immigrant heroes awards event presented by the immigrant learning center inc honoring and thanking massachusetts immigrant heroes who have done extraordinary work to support our communities in a time of crisis ,2,2
 lol no immigrant wants to go to south dakota,2,2
 dont change the subject you internet trolls cant do any damage to the actual people who hurt you so you settle for mildly famous youtubers because those are the ones you can bully off a platform and your pain justifies theirs gamergate but left,2,2
    lmao  yep the difference is that the illegal immigration is not following the law legal immigration is fine with me that hard for you to understand i am part native american as well oh and i was born here i myself am not a immigrant she said illegal in her post,2,1
 nice language sjw,2,2
 im sure not one immigrant will head to the desolation of whatever dakota you rep,2,2
 was used to hide the dead bodies of immigrant child sex workers,2,2
every first gen kid knows how traumatic it was to ask your immigrant dad to help you with your math homework,2,2
 how does he have a white supremacy mindset just say you dont want a nigger teaching your kids lady its funny how you can call somebody a nigger without the saying the word itself,1,1
did you really try to compare a line in a script to a line in a tweet thats a terrible comparisonalso you do realize that nobody on the japanese side involved with these anime have complained about these dubs right and the gamergate line was changed so thats moot ,2,2
questions continue about the group housing immigrant girls in houston  said they dont even have a place to eat the food is brought to their cots  via ,2,1
 funnily enough sjw gives me fascist bingo,2,2
 with all due respect you are a horrible person as a native i must reiterate that you are an immigrant on stolen land refer to the homestead act to understand how your undocumented ancestors did this and learn just whom is the real illegal on that land,2,1
 according to your indigenous american citizens you are the immigrant bitch,1,1
how about we end the illegal immigrant free entry transport and housing program instead feeding americans is more important ,2,2
the immigrant assimilation formula fadc-cdn where dc is the dominant culture cd is the cultural distance and n is the number of immigrants meaning the lower the number and the smaller the distance the more assimilation,2,1
 oh honey unless youre native american youre an immigrant or a slave and have zero say who gets to stay and who doesnt,1,1
why do immigrantblack parents think parenting is only about providing shelter clothes and food to their kids and then be confused when they grow up to be emotionally immature and damaged souls that either harbor resentment for their parents or emotionally abuse others,1,2
walking while black so much for playing the race card  glad the doj is investigating too much nerve  ,2,2
slave catchers must understand when you catch a nigger slave that he is most likely scared as hell because he has seen many other nigger slaves executed by other slave catchers ,1,2
 im sure they are lining up to call you  also you do realize you can be a legal immigrant but not an american right or are they not welcome to sd either,1,1
 good thing my mom is a soviet immigrant so i see why she doesnt care,2,1
one week away from  annual #livelocalthinkglobal event hosted virtually from   please consider making a donation when you register and support our immigrant community  #loveindy #fundraiser #community #indywelcomesall ,2,1
 my very existence in a show would get it labeled as sjw propaganda and i take pride in that,2,2
 ive been in barren for my photography this essay was originally part of my memoir desperado the story of my brother querying for agents for the book is just about underway,2,2
conservative fundraising appeals now on the internet depend on triggering right-wing voters on incendiary issues such as abortion gun rights marriage equality transgender rights immigrant invasions and now cancel culture and wokeism ,2,1
republicans are copying what democratic states and cities did during the trump administration by declaring themselves immigrant sanctuarys the republicans are declaring their states gun sanctuarys,2,1
walgreens got brandys best friend as some holding music they calling me a nigger,2,2
liverpool always condemn but will do nothing as usualsame scum smashing another coach they will be playing victim card tomorrow hillsborough anniversary hypocrites ,2,1
 have you seen the new anime me and my sjw girlfriend its pretty lit,2,2
reminder please join the central new york chapter for their chapter event fulbright reads a fulbright association book club event with a peculiar kind of immigrants son by sergio troncoso on wednesday april 21 at 730pm estto register visit ,2,1
sneak peektomorrow were unveiling a mural in washington dc to kick off the immigrant day of resilience were using art to honor immigrants who have been impacted by detention deportation police brutality and covid-19 sign up here  ,2,2
#minari navigates the immigrant american journey but writer-director #leeisaacchung producer #christinaoh and #stevenyeun emphasize its themes are broader than the asian american experience we were just trying to tell something honest ,2,2
 heres ur sjw points,2,2
 ummmmis she truly that ignorant she implies that they are either an illegal immigrant or an american does she not know about the tons of permanent resident green card holders,2,1
 youre an immigrant,2,2
  if they would accept a nigger i would love to be humiliated by all 3,1,1
  your father wasnt an illegal immigrant moron,2,2
 gender is in illusory social construct therefore there is no such thing as women distinct from men you bigotsfor a lesson in being a better thuper thmart sjw drone ask  about all those mean gop bills protecting mshs girls from dudes faking they are female,2,1
thanks a million to  team member hannah for meeting with us today to discuss #h4eaddelays we are grateful for your positive reassurance on resolving this crisis for immigrant women of color it was really great interacting with you #womenforcedtoquit ,2,2
must see smart high school student absolutely destroys sjw teacher ,2,1
 too bad no one said that to your immigrant ancestors,2,1
     way to go mate  ,2,2
nanthaveth and associates offer legal assistance to corporations immigrant workers students investors and business owners looking to obtain a business visa in the united states  ,2,1
 you should stick to ice cream however since were on the subject i dont see ben and jerrys in black or brown communities new flavor idea sjw virtue signal crunch,2,2
 just yesterday the house judiciary committee passed a bill granting amnesty to all the undocumented immigrant workers whom south dakota dairies hog farms and other agricultural corporations employ and exploit,2,2
 youre an illegal immigrant so youre obviously lying,1,2
 when i catch your smelly marj you nigger,1,2
  farm workers dreamers and tps holders make up thousands of the immigrant workers needed to help in pandemic recovery across the us i urge you to support legislation that would support them and provide pathways to citizenship,2,1
 just yesterday the house judiciary committee passed a bill granting amnesty to all the undocumented immigrant workers whom south dakota dairies hog farms and other agricultural corporations employ and exploit,2,2
she did go on her on june 29th 2019 to say that america was committing human rights abuses at our southern border based on immigrant children being detained she claimed the first thing she was going to do is shut it down   ,2,1
 never seen a death threat or assault against lind shes playing the victim card bc thats what woke socialists are trained to do even when false show us one just one        ,2,1
immigrant parents be like whatsaspp,2,2
  really comic how you want to be opressed so badly and i have to commend you for your ability to conjure the victim card out of thin air i should take notes,2,1
im going to keep speaking out about thisas an immigrant to the us - long history of interacting with americansparents still have heavy accents after many yearsyet weve never not once experienced bigotryamericans of all colors have been overwhelmingly kind and helpful ,2,2
murdoch is satan being an immigrant himself while his minions spread disinformation re immigrants ,2,2
i cant wait for #socialworkers to be assigned to de-escalate a domestic violence scenario—without a weapon im certain we will see lots of volunteers from our #sjw groups  ,2,2
the  endorses  noting that he will center the needs of black brown and immigrant new yorkers while passing over the several black and brown new yorkers who are also running for mayor ,2,1
 how bout some rest nigger,1,2
   there is nothing intellectual about this conversation dumbassesyall just have zero morals and will say whatever to justify someone who is clearly in the wrongbut a white woman calling a child nigga or nigger is justified because he said it first ,2,1
im disappointed this is supposed to be tinas era not break a nigger like a kik kak  ,1,2
 what site is this am i able to look up mkr 2 as well,2,2
 it was all because i called sanji a nigger on whole cake island and he heard me,2,2
 same bsbullying trans kids immigrant children,2,2
 these are the only real americans everyone else here is an illegal immigrant ,2,2
men losing girlfriends over an argument not me if my girls tells me to shut my nigger ass up thats exactly what imma do ,1,1
this is a nigger  ,1,2
  well he is the sole creator and inspiration for gamergate which caused qanon which caused the jan 6th riot matt jarbo is responsible for the jan 6th riot and therefore the aftermathaccording to matt,2,2
 as long as you are not immigrant from central america africa asia but immigrants from norway like her ancestors are welcome,1,1
the victim card,2,2
  no its not it has nothing to do with her being biracial everyone including the press liked her in the beginning it was only when she showed us what a nasty delusional narcissist she was that public opinion changed you people really have to stop pulling the race card ,2,1
highlight of my month was when my dad told me im having an identity crisis bc i got my nose pierced gotta love immigrant parents,2,2
 sighdream is such a little nigger,1,2
meanwhile his bags are no where near packed these african immigrant communist really invest time in trying to get us to leave but why  ,2,1
being an immigrant is not easy,2,2
 shes a soviet immigrant so i can see why she doesnt care,2,1
someone can be a legal immigrant in america theres millions of them thats part of the beauty of this country first part of the tweet is good but the end should read call me when youre a legal immigrant ,2,1
 quick question if they make reed black what will it have to do with his story will him being black have a major contribution to the story or his character or is this just a way for you to spew your sjw rhetoric,2,2
 immigrant and naturalized citizen here maybe if you had a few more immigrants youd realize how valuable we can be instead of demeaning us all because of how or why we had to come here,2,2
noor was a somali immigrant the first somali-american officer in his minneapolis precinct and had only been in the job about a year he said that he panicked and shot the victim because he wrongly perceived she was raising a hand in order to shoot his partner she was unarmed,2,1
gop says kamala harris is mia on immigration as she announces mexico trip  did you correct your party tell them to stop the lies since yall knew she was at that very time working on immigrant no thats what i thought ,2,1
 hi im a mentally ill bisexual immigrant who most likely has adhd,2,2
 people call it nigger glitter lol,1,2
 people actually think real madrid fans arent cocky cause we attacked their stinking bus and theyre playing the victim card these spoilt twats booed ronaldo of all people ,1,2
aave comp bal bnt crv mkr all pumping is this the start of defi szn 20 ,2,2
 do ppl who boast of being a legal immigrant tend to also claim to be white passing,2,2
 shit you got me there nîgger,1,2
 lol as awful inappropriate and xenophobic as this is its hilarious to think any immigrant wants to relocate to south dakota,2,2
 lol id bet there is an illegal immigrant or land thief in her family tree,2,2
 this is the most hilarious immigrant move ever my dad like chipotle bowls with all the things then adds his own things too like why bro,2,2
 if i were an immigrant id become a naturalized citizen call noem and reverse the charges,2,2
 you didnt stand up for american democracy when you opposed certifying the election results on top of that you wanted to block a bill against aapi hate crime when youre a latino and an immigrant,2,1
steven vs deranged sjw  louder with crowder ,1,2
 i am a legal immigrant who became an american citizen and i have no desire to visit your state and also you might want to study up on the history of your state you all stole that land from the true americans,2,1
 the only sjw food i eat is a steak on jalapeno on white,2,2
 guarantee her house cleaner is an illegal immigrant,2,1
wonder what its like to experience life as a non immigrant,2,2
 i guarantee you that not one immigrant comes to the us to live in south dakota,2,2
 i watched peaceful protesters destroy and rob a immigrant owned buisness they come to this country in search of a better lifesucceed and people like you make excuses for it let them rob you and burn your shit then you can open your trap,2,1
making bolognese for my brother and his wife after their baby was bornmy apartment smells like a 78-year-old italian immigrant should be living here,2,2
my top 5 #cryptocurrency holding in order with eoy projections1 #cro -542 #mkr -100003 #dot -1754 #one -1005 #snx -1000,2,2
    exactly my contention bieng an illegal immigrant is a crime by itself hence south africans are calling for their deportation and arrest,2,2
 killed in her apartment by an african immigrant there i fix it for ya,2,2
the f audacity  youre an immigrant like the rest of them ,2,2
white women be like yea i know he says nigger and wears a swastika but riley is great guy,2,1
 no you dont nigger,1,2
 so true my nigger,1,2
ive come across a pearl in the big defi sea check out uno and you will understand everything cant wait for next staking prospects  egld ktn ada coin zmt hnt zil mkr dai chsb shib rune mlk ghst etc yfi rsr xiv bat rvn llt,2,2
 i watched a immigrant owned buisness get destroyed and looted from a peaceful protestthey come to this country in search of a better life defy the odds and work hard to succeed only for people like you to make excuses for the ones doing it post your address let them rob you,2,1
if in minority they play victim cardif in majority they play civil war #tlp_terrorist,2,1
nigger ,1,2
 is it not slavery war for slavery black codes jim crow nativitists anti immigrant irish catholic e european italian asian hispanic i guess a few of you missed some history lessons,2,1
 non-binary immigrant with adhd,2,2
south dakota is literally stolen land ur the fucking immigrant ,1,2
this nigger here keep trying me yep ima gone head and do that ,1,2
  a 50 minute video of jarbo explaining his qanongamergate tweet this guy is out of control,2,2
just voted on bps election as an immigrant who did not know anything about the candidates after some reading and research i decided to vote on professor   his work about anti-racism human rights and palestina got me hope he could win,2,2
     i never said anything about that man or his wife second i dont except that i just dont hang around sjw i thought the joke was funny at the end of the day just because youre offended by it doesnt mean people have to change to fit your definition,2,2
   wait nick is an immigrant lol,2,2
seek sources whose voices we seldom hear #gamergate,2,2
 stop lying you are a immigrant also,2,2
trumps administration jeff sessions put immigrant children in cages and separating their parentspresident biden has decency  ,2,2
 this is literally how they show they have always wanted a race war make america great again is a dog whistle hiding behind dismissive buzzwords like woke and sjw they dont want to have to consider they see the world through a whitewashed lens they cant move past that,2,1
    some feminazi problems,1,2
    aa fah shi yace riko na his adc so no stampede against him by cultists if riko dey behindlengthy strike no dey kill nigger#samsboys301,1,2
be thankful your immigrant parents came to america before people like you were around ,2,1
because they hate when you say notallmen,2,2
can you imagine being so far gone that you think eating and drinking is some kind of soyboy sjw plot ,2,2
   pretty sad that you sjw are such haters and racists nobody bats an eye when a cop kill ms a white or a asian,2,1
 most of the things kankri is a strawman about have been relatively turned around and adopted as the works actual perspective now labels that arent l g b or t hs2 probably wouldnt mock the concept of a microaggression etc but imo ableism remains a weird sjw accusation,2,1
i didnt have an opinion at the time but tessa could spit at me and call me a nigger,2,2
  malcom x steve biko and  were in their mid 20s when they were fully fledged fighters for self determination and freedom from oppressive regimes,2,1
an uber eats drivers killing was caught on video it showed every immigrants worst nightmare  ,2,2
 you have 2 middle fingers up thats ghetto and trashy but of course youre gonna play the race card instead of using common sense,2,1
  this 1000 times this maybe they need to do a sweep through all of the plants and make sure to get rid of every immigrant working in them and then try to find a toothless trailer park south dakota white man to take the job,1,2
  that sounds like self pityvictim card bitching,2,1
im an immigrant so i love marijuana,2,2
fuck off with your race card youre helping spread shitty communist china propaganda fuck all the way off ,1,1
 or that she will shut down all business that use illegal immigrant labor,2,1
  1 native americans2 slave3 refugee legal4 immigrant legal5 and most importantly conquerors the illegal immigrants can choose 34 or 5,2,1
 well arent you a piece of entitled immigrant lineage and#@,2,2
    there is considerable anger within the indian immigrant community because were constantly dehumanized here after having lived most of our lives here on visas while refugees and family based immigrants jump ahead of us in the line so some just take out their anger in twitter,2,2
 college town my street looks like the the united nations heck im even married to an immigrant we love our street youd certainly be welcome,2,2
ok im an irish german immigrant if my high school wouldve been named barack obama hs i have burned to the groundeight years as presidentthe only thing that you are known for is a counterfeiter you printed 10 trillion i do that i dont see the light of day againcrook,1,2
 -- this is how you wish our festivals are not your sjw playground ,2,2
 the  race card  has long gone over its credit limit ,1,2
   how about addressing racist #jonathonpentland in your own state if youre a young african american or an immigrant you can go anywhere in this state you just need to be conservative not liberal your quote,2,2
 thats great when are you leaving native land you hypocritefirst immigrant to go should be you genius ,2,1
 no foul play,2,2
   playing the race card no im pointing out that you are probably some clown here trying to convince me an asian american that im a victim and racially attacked in the usa a common problem most ds always try to tell minorities all the time,2,1
sanctuary thats anything but thx   for clarifying how misleading sanctuary label is and how toxic its effect on immigrant communities i support #ab375 keep nv working which will provide a safer immgt envt ,2,1
 i really wonder why the sioux and lakota indians do not kick the governor out of south dakota as an illegal immigrant on their lands,2,1
awesome my #hopper just sold #mkr with 213 profit on #binance super #cryptohopper,2,2
